    komen; komentar
    jurusn; jurusan
    ngangong2; ngangong ngangong
    5ny; 5 nya
    dhl; padahal
    gweh; gue
    perbnyak; perbanyak
    privilage; privilege
    sbarrr; sabar
    epsd; episode
    tebak2an; tebak tebakan
    dimane; dimana
    kaleng2; kaleng kaleng
    gilaakkkk; gila
    datengin; datangkan
    pelukis2; pelukis pelukis
    dikaish; dikasih
    seimbag; seimbang
    gilaaaak; gila
    gktau; tidak tahu
    bgttttt; banget
    kuis2; kuis kuis
    ajhaa; saja
    balek; kembali
    diupload; diunggah
    hebaattt; hebat
    6nya; 6 nya
    champion; champions
    dbalik; dibalik
    laayar; layar
    dwonload; unduh
    episode5; episode 5
    subtitle2; subtitle subtitle
    semnagat; semangat
    kdit; kadit
    slnjtny; selanjutnya
    dosen2; dosen dosen
    plizz; tolong
    sepinter; sepintar
    nntonnya; menontonnya
    suongong; songong
    jiwa2; jiwa jiwa
    savage; kejam
    lawucu; lucu
    gemesssh; gemas
    exiceted; excited
    xmalming; malam minggu
    rg; ruang guru
    please; tolong
    eng; english
    1vs1; 1 lawan 1
    jama; jam
    nyq; nya
    tapj; tapi
    maxwellkuuhh; maxwellku
    subtitled; subtitle
    kynya; kayaknya
    boring; membosankan
    benerrrr; benar
    parahy; parah
    santuy; santai
    dekdek; deg degan
    afal; hafal
    confidience; confidence
    t; 
    u; kamu
    r; are
    plisssss; tolong
    km; kamu
    brhrp; berharap
    batt; banget
    shakii; shakira
    ecel; axel
    terimakasih; terima kasih
    bgusx; bagusnya
    shkira; shakira
    2nya; 2 nya
    tampilin; tampilkan
    gagall; gagal
    inn; ini
    cc; subtitle
    nangis; menangis
    banggaa; bangga
    gppa; tidak apa apa
    maknya; emaknya
    memgtertrigger; memicu
    tumbnailnya; thumbnail nya
    tau; tahu
    toloongg; tolong
    kagaa; tidak
    puhh; sepuh
    kefikiran; kepikiran
    drescodenya; seragamnya
    ankq; anakku
    nangissss; tangis
    aslieee; asli
    plzz; tolong
    ngerjakan; mengerjakan
    cany; cant
    anjai; anjay
    keek; kayak
    ngeremake; membuat ulang
    remake; membuat ulang
    meremake; membuat ulang
    plsss; tolong
    settingan; pengaturan
    setingan; pengaturan
    ngitungw; menghitung
    minna; admin
    mnaaa; mana
    epc; episode
    gantonggg; gantung
    udahan; sudahan
    gaada; tidak ada
    isa; bisa
    ora; tidak
    well; baik
    tok; saja
    nngis; tangis
    dh; sudah
    sizionis; si zionis
    zionist; zionis
    caperr; cari perhatian
    minnn; admin
    gabisa; tidak bisa
    trus; terus
    nangis; tangis
    gajadi; tidak jadi
    kingg; raja
    dit; kadit
    shaki; shakira
    abia; habis
    kayanya; kayaknya
    if; kalau
    proud; bangga
    pround; bangga
    very; sangat
    kaditt; kadit
    kadiit; kadit
