adalah
adanya
adapun
agar
akan
akankah
aku
akulah
amat
amatlah
anda
andalah
antar
antara
antaranya
apabila
apalagi
apatah
artinya
asal
asalkan
atas
atau
ataukah
ataupun
bahkan
bahwa
bahwasanya
bapak
bawah
beberapa
berbagai
berdatangan
berkehendak
berlainan
berlalu
berlangsung
berlebihan
bermacam
bermacam-macam
bermaksud
bermula
bersiap
bersiap-siap
bertanya
bertanya-tanya
berturut
berturut-turut
bertutur
berujar
berupa
biasanya
bila
bilakah
bukankah
bukanlah
bukannya
bung
dahulu
dalam
dan
dekat
demi
demikian
demikianlah
dengan
di
dia
dialah
diantara
diantaranya
digunakan
diibaratkan
diibaratkannya
diingat
dijelaskan
dijelaskannya
dikarenakan
dikatakan
dikatakannya
dilalui
dimaksud
dimaksudkan
dimaksudkannya
dimaksudnya
dimisalkan
dimungkinkan
dini
dipastikan
diperlukan
diperlukannya
dipersoalkan
dipunyai
disampaikan
disebut
disebutkan
disebutkannya
ditambahkan
ditandaskan
ditegaskan
dituturkan
dituturkannya
diucapkan
diucapkannya
diungkapkan
dulu
entah
entahlah
hal
hendak
hendaklah
hendaknya
hingga
ia
ialah
ibarat
ibaratkan
ibaratnya
ibu
ingat
ingat-ingat
ini
inikah
inilah
itu
itukah
jangankan
janganlah
jauh
jika
jikalau
justru
kala
kami
kamilah
kamu
kamulah
kan
karena
karenanya
kasus
kata
katakan
katakanlah
katanya
ke
kemudian
kemungkinan
kemungkinannya
kepada
kepadanya
kesampaian
keterlaluan
ketika
khususnya
kini
kinilah
kita
kitalah
kok
lah
lainnya
macam
maka
makanya
malah
malahan
mampu
mampukah
masa
maupun
melainkan
melakukan
melalui
memang
memastikan
memerlukan
memihak
memisalkan
memperbuat
mempergunakan
mempersiapkan
mempersoalkan
mempertanyakan
memungkinkan
menaiki
menandaskan
menegaskan
mengatakan
mengatakannya
mengenai
menghendaki
mengibaratkan
mengibaratkannya
mengucapkan
mengucapkannya
mengungkapkan
menuturkan
menyampaikan
menyangkut
menyatakan
menyebutkan
menyeluruh
menyiapkan
mereka
merekalah
merupakan
meski
meskipun
meyakini
meyakinkan
mirip
misal
misalkan
misalnya
mulanya
nah
namun
nyaris
nyatanya
oleh
olehnya
pak
para
per
perlu
perlukah
perlunya
pihak
pihaknya
pukul
pula
pun
punya
rata
rupanya
saat
saatnya
sajalah
sambil
sampai-sampai
sampaikan
saya
sayalah
se
sebab
sebabnya
sebaliknya
sebegini
sebegitu
sebuah
sebut
sebutlah
sebutnya
secara
sedangkan
sedemikian
segala
segalanya
sehingga
seingat
sejak
sejauh
sejenak
sejumlah
sekadar
sekadarnya
sekalian
sekaligus
sekalipun
sekecil
seketika
sekiranya
sekitar
sekitarnya
sela
selain
semacam
semampu
semampunya
semasa
semasih
semata
semata-mata
semaunya
sementara
semisal
semisalnya
sempat
semula
seolah
seolah-olah
seorang
sepantasnya
sepantasnyalah
seperlunya
sepihak
sesaat
sesama
sesampai
sesegera
sesekali
seseorang
sesuatu
sesuatunya
setempat
setengah
setiba
setibanya
sinilah
suatu
supaya
tadi
tadinya
tambah
tambahnya
tampak
tampaknya
tandas
tandasnya
tanpa
tapi
telah
tempat
tengah
tentang
tentu
tentulah
tentunya
tepat
terbanyak
terdahulu
terdiri
terhadap
terhadapnya
teringat
teringat-ingat
terjadi
terjadilah
terjadinya
terkira
termasuk
ternyata
tersampaikan
tersebut
tersebutlah
tertentu
tertuju
terutama
tetapi
tiba
toh
tutur
tuturnya
ucap
ucapnya
ujar
ujarnya
ungkap
ungkapnya
untuk
wahai
walau
walaupun
wong
yaitu
yakin
yakni
yang
